calificacion,descripcion,precio,titulo
[4.7],"Fotografía profesional en tu bolsillo,Descubre infinitas posibilidades para tus fotos con las 3 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.,Además, el dispositivo cuenta con cámara frontal de 16 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.,Experiencia visual increíble,Mira tus series y películas favoritas con la mejor definición a través de su pantalla AMOLED de 6.43"". Disfruta de colores brillantes y detalles precisos en todos tus contenidos.,Capacidad y eficiencia,Con su potente procesador y memoria RAM de 8 GB tu equipo alcanzará un alto rendimiento con gran velocidad de transmisión de contenidos y ejecutará múltiples aplicaciones a la vez sin demoras.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.",[3279],Xiaomi Redmi Note 12s Dual Sim 256 Gb Onyx Black 8 Gb Ram
[4.7],"Doble cámara y más detalles,Sus 2 cámaras traseras de 50 Mpx/2 Mpx te permitirán tomar imágenes con más detalles y lograr efectos únicos como el famoso modo retrato de poca profundidad de campo.,Además, el dispositivo cuenta con cámara frontal de 5 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.,Más para ver,Con su pantalla IPS de 6.71"", disfruta de colores intensos y mayor nitidez en todos tus contenidos.,Mayor rendimiento,Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.,Gran capacidad de almacenamiento,Con su memoria interna de 128 GB podrás almacenar archivos y aplicaciones de gran tamaño sin necesidad de subirlos a la nube y aprovechar tus momentos sin conexión para darles el máximo uso. ",[1767],Xiaomi Redmi 12C Dual SIM 128 GB gris grafito 4 GB RAM
[4.7],"Fotografía profesional en tu bolsillo,Descubre infinitas posibilidades para tus fotos con las 3 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.,Además, el dispositivo cuenta con cámara frontal de 8 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.,Mayor rendimiento,Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.,Desbloqueo veloz con tu huella digital,Con el sensor de huella digital, el acceso es seguro y podrás desbloquearlo automáticamente con un toque.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.",[1888],Celular Pocophone Poco M5 Black 4gb Ram 128gb Rom
[4.7],"Doble cámara y más detalles,Sus 2 cámaras traseras de 50 Mpx/2 Mpx te permitirán tomar imágenes con más detalles y lograr efectos únicos como el famoso modo retrato de poca profundidad de campo.,Además, el dispositivo cuenta con cámara frontal de 5 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.,Más para ver,Con su pantalla IPS de 6.71"", disfruta de colores intensos y mayor nitidez en todos tus contenidos.,Mayor rendimiento,Su memoria RAM de 3 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.,Gran capacidad de almacenamiento,Con su memoria interna de 64 GB siempre tendrás espacio para almacenar archivos y documentos importantes. Además, podrás guardar películas, series y videos para reproducirlos cuando quieras sin conexión.",[1645],Xiaomi Redmi 10C Dual SIM 64 GB verde menta 3 GB RAM
[4.7],"Gran pantalla FHD+ a 90 Hz,Diseño premium con cristal trasero. De primera calidad, más delgado. Con un grosor de tan solo 8,17 mm, el Redmi 12 aporta un nuevo significado a lo que significa verse y sentirse bien gracias a su elegante y duradero diseño con cristal trasero.,Resistencia a las salpicaduras y al polvo IP53.,Pantalla FHD+ de 6,79'' a 90 Hz,Certificación SGS de luz azul de baja intensidad.",[3045],Celular Xiaomi Redmi 12 Dual Sim 256gb 8ram Negro
[4.7],"Doble cámara y más detalles,Sus 2 cámaras traseras de 108 Mpx/8 Mpx/2 Mpx te permitirán tomar imágenes con más detalles y lograr efectos únicos como el famoso modo retrato de poca profundidad de campo.,Además, el dispositivo cuenta con cámara frontal de 12 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.,Más para ver,Con su pantalla IPS de 6.43"", disfruta de colores intensos y mayor nitidez en todos tus contenidos.,Capacidad y eficiencia,Con su potente procesador y memoria RAM de 8 GB tu equipo alcanzará un alto rendimiento con gran velocidad de transmisión de contenidos y ejecutará múltiples aplicaciones a la vez sin demoras.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.,Capacidad de almacenamiento ilimitada,Olvídate de borrar. Con su memoria interna de 256 GB podrás descargar todos los archivos y aplicaciones que necesites, guardar fotos y almacenar tus películas, series y videos favoritos para reproducirlos cuando quieras.",[3295],Xiaomi Redmi Note 12s 4G Dual SIM 256 GB pearl green 8 GB RAM
[4.7],"Fotografía profesional en tu bolsillo,Descubre infinitas posibilidades para tus fotos con las 3 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.,Además, el dispositivo cuenta con cámara frontal de 13 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.,Experiencia visual increíble,Mira tus series y películas favoritas con la mejor definición a través de su pantalla AMOLED de 6.67"". Disfruta de colores brillantes y detalles precisos en todos tus contenidos.,Mayor rendimiento,Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.",[2783],Xiaomi Redmi Note 12 4G Dual SIM 128 GB onyx gray 4 GB RAM
[4.7],"Fotografía profesional en tu bolsillo,Descubre infinitas posibilidades para tus fotos con las 3 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.,Además, el dispositivo cuenta con cámara frontal de 13 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.,Experiencia visual increíble,Mira tus series y películas favoritas con la mejor definición a través de su pantalla AMOLED de 6.67"". Disfruta de colores brillantes y detalles precisos en todos tus contenidos.,Mayor rendimiento,Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.",[2569],Xiaomi Redmi Note 12 4G Dual SIM 128 GB onyx gray 4 GB RAM
[4.6],"Doble cámara y más detalles,Sus 2 cámaras traseras de 13 Mpx/2 Mpx te permitirán tomar imágenes con más detalles y lograr efectos únicos como el famoso modo retrato de poca profundidad de campo.,Además, el dispositivo cuenta con cámara frontal de 5 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.,Más para ver,Con su pantalla IPS de 6.71"", disfruta de colores intensos y mayor nitidez en todos tus contenidos.,Mayor rendimiento,Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 6000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.,Gran capacidad de almacenamiento,Con su memoria interna de 64 GB siempre tendrás espacio para almacenar archivos y documentos importantes. Además, podrás guardar películas, series y videos para reproducirlos cuando quieras sin conexión.",[1517],Xiaomi Pocophone Poco C40 Dual SIM 64 GB power black 4 GB RAM
[4.6],"El Redmi 12 tendrá un cuerpo y marco de plástico que mide alrededor de 168,60 mm x 76,28 mm x 8,17 mm y pesa alrededor de 199 gramos. El teléfono está alimentado por una batería masiva de 5,000mAh con soporte de carga rápida de 18W y vendrá con un puerto USB Tipo-C y una ranura para tarjeta SIM dual.,En la parte frontal, el Redmi 12 cuenta con una pantalla IPS TFT de 6,79 pulgadas que ofrece una resolución Full HD+ de 2460 x 1080 píxeles. Cabe destacar que la pantalla es capaz de soportar tasas de refresco de hasta 90Hz gracias a la tecnología de tasa de refresco AdaptiveSync de Xiaomi, que permite cambiar automáticamente entre 30, 48, 60 o 90Hz en función del contenido que se esté visualizando.,Bajo el capó, se espera que el Redmi 12 esté alimentado por un SoC MediaTek Helio G88. Se espera que venga con 8 GB de RAM y 256 GB de almacenamiento. Los usuarios también tendrán la opción de ampliar la capacidad de almacenamiento de hasta 1 TB mediante una ranura para tarjetas microSD.,En el frente de la cámara, el dispositivo tiene una configuración de triple cámara en la parte posterior con una lente de 50MP con apertura f/1.8 como sensor principal, junto con una cámara ultra gran angular de 8MP y un sensor macro de 2MP.,Otras características notables del Redmi 12 incluyen altavoces duales, un conector para auriculares de 3,5 mm, un escáner de huellas dactilares y soporte para el reconocimiento facial de inteligencia artificial. El dispositivo probablemente vendrá preinstalado con MIUI 14, que se basa en Android 13.",[3028],Xiaomi Redmi 12 Dual Sim 256gb Polar Silver 8gb Ram
[4.6],"Fotografía profesional en tu bolsillo,Descubre infinitas posibilidades para tus fotos con las 4 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.,Mayor rendimiento,Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.",[1967],Xiaomi Redmi 10 2022 Dual SIM 64 GB azul marítimo 4 GB RAM
[4.6],"Fotografía profesional en tu bolsillo,Descubre infinitas posibilidades para tus fotos con las 4 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.,Mayor rendimiento,Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas, jugar o navegar.,Desbloqueo facial y dactilar,Máxima seguridad para que solo tú puedas acceder al equipo. Podrás elegir entre el sensor de huella dactilar para habilitar el teléfono en un toque, o el reconocimiento facial que permite un desbloqueo hasta un 30% más rápido.,Batería de duración superior,¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.",[2029],Xiaomi Redmi 10 2022 Dual SIM 128 GB azul marítimo 4 GB RAM
